country,name,code
CN,Anhui,CN-AH
CN,Beijing,CN-BJ
CN,Chongqing,CN-CQ
CN,Fujian,CN-FJ
CN,Gansu,CN-GS
CN,Guangdong,CN-GD
CN,Guangxi Zhuangzu,CN-GX
CN,Guizhou,CN-GZ
CN,Hainan,CN-HI
CN,Hebei,CN-HE
CN,Heilongjiang,CN-HL
CN,Henan,CN-HA
CN,Hubei,CN-HB
CN,Hunan,CN-HN
CN,Jiangsu,CN-JS
CN,Jiangxi,CN-JX
CN,Jilin,CN-JL
CN,Liaoning,CN-LN
CN,Nei Mongol,CN-NM
CN,Ningxia Huizu,CN-NX
CN,Qinghai,CN-QH
CN,Shaanxi,CN-SN
CN,Shandong,CN-SD
CN,Shanghai,CN-SH
CN,Shanxi,CN-SX
CN,Sichuan,CN-SC
CN,Tianjin,CN-TJ
CN,Xinjiang Uygur,CN-XJ
CN,Xizang,CN-XZ
CN,Yunnan,CN-YN
CN,Zhejiang,CN-ZJ
